variable,moy_traite,moy_temoin,sd_traite,var_ratio,smd,echantillon
jours_autre_m5,0.06187855725525902,0.055449006981401275,1.3663028603274767,1.130197104338985,0.004705801664146928,Avant appariement
jours_autre_m4,0.061711690469367246,0.05366661162833035,1.3651363936868934,1.1594953678511692,0.005893241787591013,Avant appariement
jours_autre_m3,0.06294868120826064,0.0526039483655731,1.3789093481357195,1.207181238689352,0.0075021123445668,Avant appariement
jours_autre_m2,0.06260043748118214,0.05140368926202058,1.3752926684379194,1.2254767266512208,0.008141356728003951,Avant appariement
jours_autre_m1,0.0636234034294752,0.05157303798915321,1.3809840431173241,1.2370729080843312,0.008725926632085079,Avant appariement
jours_ns_min_m24,0.08980335112036536,0.06712136799901777,1.651839899905533,1.335333840857753,0.013731344740277037,Avant appariement
jours_ns_min_m23,0.08392673822591586,0.0656586183684097,1.5948089306059208,1.2756659346704329,0.0114547388761897,Avant appariement
jours_ns_min_m22,0.08055675465866674,0.06361373248828318,1.5640065917644705,1.2646754118179182,0.010833088722003972,Avant appariement
jours_ns_min_m21,0.07602958620664638,0.06238172049839331,1.5194416228005592,1.2172897843887458,0.008982158645291026,Avant appariement
jours_ns_min_m20,0.07113603633342885,0.059727179200589335,1.4706365852974306,1.1935180191715202,0.007757767790423983,Avant appariement
jours_ns_min_m19,0.064417834431873,0.05799982218383651,1.398665964523868,1.109114983825687,0.004588666923214441,Avant appariement
jours_ns_min_m18,0.06033322571634823,0.05375763656916414,1.352501509845147,1.1225040472632046,0.004861798008592948,Avant appariement
jours_ns_min_m17,0.0555231092360766,0.05042358350374049,1.2991699231114695,1.1025464547143646,0.003925218434954922,Avant appariement
jours_ns_min_m16,0.05002013284047172,0.04626818911172359,1.2320555985707462,1.0785890686241608,0.0030452714415652978,Avant appariement
jours_ns_min_m15,0.04217013882591079,0.041299920829470066,1.1338845994734121,1.0219168399850589,7.674661044385464e-4,Avant appariement
jours_ns_min_m14,0.0375232615927072,0.03791506314590663,1.0681907394699097,0.9900228714358337,-3.6678988004882593e-4,Avant appariement
jours_ns_min_m13,0.03177361255708839,0.03558863500692213,0.9829294002024564,0.8947853480691321,-0.0038812781966313667,Avant appariement
jours_ns_min_m12,0.02896226996869434,0.03284095190919521,0.9393447291790987,0.8818318286906677,-0.004129135790106031,Avant appariement
jours_ns_min_m11,0.024725304622572723,0.030489121461140817,0.8673113802413746,0.8105223882390681,-0.006645614216389058,Avant appariement
jours_ns_min_m10,0.020520987125864715,0.025967510446699604,0.7900746459275153,0.7898639386535243,-0.006893681943736965,Avant appariement
jours_ns_min_m9,0.0170784527821409,0.02149035347313071,0.7203256589666664,0.792018559173954,-0.0061248695448650825,Avant appariement
jours_ns_min_m8,0.01349444442429145,0.018691865757264003,0.6415573513622321,0.7230575148605977,-0.008101257544530914,Avant appariement
jours_ns_min_m7,0.010175246400574602,0.016041558177638346,0.5570870580320613,0.6355394354456514,-0.010530332185039072,Avant appariement
jours_ns_min_m6,0.007120858710990354,0.01212113514451797,0.46393277606964767,0.5828205160465622,-0.010778019341269719,Avant appariement
jours_ns_min_m5,0.005651705487377979,0.008808250669985902,0.41563880251354307,0.6453447683750217,-0.007594442971924092,Avant appariement
